Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
java-design-patterns,36,93,97,30,256,1569,180,64318,2743,196,41682
RxJava,959,3948,1130,670,6707,2147,29,343496,6524,324,36456
elasticsearch,3589,12329,10577,3068,29563,3212,1829,1490246,73023,1404,36282
spring-boot,654,539,1119,580,2892,2228,389,382812,19876,611,31331
retrofit,56,217,139,42,454,3002,70,25133,1759,154,30429
interviews,0,132,92,0,224,649,31,13903,438,35,30317
okhttp,156,637,392,152,1337,2316,170,72217,3928,220,29776
guava,471,1064,598,553,2686,1641,788,669615,6332,300,28230
MPAndroidChart,104,289,262,56,711,1675,1300,32250,2007,84,24980
spring-framework,2439,4311,4248,1598,12596,2909,179,930140,21524,384,24891
glide,223,389,487,179,1278,1966,143,79992,2557,149,24048
lottie-android,31,82,126,17,256,780,44,12705,1110,64,23272
incubator-dubbo,350,837,654,278,2119,2350,250,137141,3081,178,22649
butterknife,27,138,86,12,263,2091,83,12110,968,90,22571
leakcanary,19,46,41,16,122,1306,22,7374,632,69,21179
AndroidUtilCode,75,199,455,80,809,848,30,36786,961,29,21109
zxing,146,519,442,75,1182,2601,8,57910,3482,136,20766
EventBus,15,26,35,12,88,2323,98,7004,504,27,19748
proxyee-down,10,43,22,7,82,396,110,4038,476,16,18660
RxAndroid,2,10,2,2,16,1559,3,1451,475,69,17135
JCSprout,7,27,10,1,45,343,16,4043,615,23,16824
netty,785,2119,2950,795,6649,2938,443,344469,14456,482,16675
jadx,132,376,301,102,911,2078,146,48114,770,37,16608
Android-Universal-Image-Loader,25,41,107,18,191,2555,460,12331,1036,41,16359
picasso,21,54,91,23,189,2021,170,11094,1325,117,16207
Hystrix,156,520,355,82,1113,2197,302,65600,2343,145,15684
BaseRecyclerViewAdapterHelper,14,47,94,6,161,959,105,7788,928,47,15625
fastjson,223,603,734,181,1741,2579,803,170249,3572,108,15591
SmartRefreshLayout,58,211,306,31,606,541,59,19454,921,9,15260
fresco,322,617,842,199,1980,1364,69,99139,2321,280,15131
libgdx,796,1583,10822,704,13905,2298,325,339119,13439,587,14662
PhotoView,8,32,46,2,88,2322,102,1881,435,41,14303
gson,80,148,149,62,439,1347,385,33604,2727,99,14176
druid,551,3438,2217,307,6513,2579,1141,348474,5866,152,13898
JavaGuide,2,4,1,1,8,202,10,603,591,17,13603
tinker,96,318,494,54,962,810,95,39976,355,24,12771
Android-CleanArchitecture,5,2,9,4,20,1559,138,4478,256,11,12767
selenium,294,682,440,225,1641,2141,502,102117,23412,522,12608
Material-Animations,2,10,8,1,21,1358,15,1034,80,11,12241
plaid,43,96,148,18,305,1122,54,12753,1016,47,12134
zheng,112,64,286,92,554,782,27,33172,1238,15,11933
ExoPlayer,499,1292,1664,313,3768,1626,287,173490,6446,207,11719
