Project, LF, LPL, TMM, Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
iluwatar/java-design-patterns,8,97,30,135,1569,180,64318,2743,196,41682
ReactiveX/RxJava,103,1130,670,1903,2147,29,343496,6524,324,36456
elastic/elasticsearch,847,10577,3068,14492,3212,1829,1490246,73023,1404,36282
spring-projects/spring-boot,1458,1119,580,3157,2228,389,382812,19876,611,31331
square/retrofit,8,139,42,189,3002,70,25133,1759,154,30429
kdn251/interviews,26,92,0,118,649,31,13903,438,35,30317
square/okhttp,3,392,152,547,2316,170,72217,3928,220,29776
google/guava,260,598,553,1411,1641,788,669615,6332,300,28230
PhilJay/MPAndroidChart,7,262,56,325,1675,1300,32250,2007,84,24980
spring-projects/spring-framework,1471,4248,1598,7317,2909,179,930140,21524,384,24891
bumptech/glide,29,487,179,695,1966,143,79992,2557,149,24048
airbnb/lottie-android,6,126,17,149,780,44,12705,1110,64,23272
apache/incubator-dubbo,37,654,278,969,2350,250,137141,3081,178,22649
JakeWharton/butterknife,0,86,12,98,2091,83,12110,968,90,22571
square/leakcanary,4,41,16,61,1306,22,7374,632,69,21179
Blankj/AndroidUtilCode,1,455,80,536,848,30,36786,961,29,21109
zxing/zxing,19,442,75,536,2601,8,57910,3482,136,20766
greenrobot/EventBus,27,35,12,74,2323,98,7004,504,27,19748
proxyee-down-org/proxyee-down,0,22,7,29,396,110,4038,476,16,18660
ReactiveX/RxAndroid,0,2,2,4,1559,3,1451,475,69,17135
crossoverJie/JCSprout,0,10,1,11,343,16,4043,615,23,16824
netty/netty,295,2950,795,4040,2938,443,344469,14456,482,16675
skylot/jadx,2,301,102,405,2078,146,48114,770,37,16608
nostra13/Android-Universal-Image-Loader,0,107,18,125,2555,460,12331,1036,41,16359
square/picasso,0,91,23,114,2021,170,11094,1325,117,16207
Netflix/Hystrix,92,355,82,529,2197,302,65600,2343,145,15684
CymChad/BaseRecyclerViewAdapterHelper,3,94,6,103,959,105,7788,928,47,15625
alibaba/fastjson,150,734,181,1065,2579,803,170249,3572,108,15591
