Project, LC (t=400), LM(t=20), LPL(t=3), TMM(t=20), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
java-design-patterns, 0, 79, 97, 0, 176, 1568, 180, 64319, 2741, 195, 41662
RxJava, 161, 2560, 1130, 167, 4018, 2146, 29, 343496, 6524, 324, 36444
elasticsearch, 579, 11575, 10577, 460, 23191, 3211, 1824, 1490245, 73019, 1404, 36265
spring-boot, 55, 451, 1119, 75, 1700, 2227, 389, 382812, 19876, 611, 31322
retrofit, 9, 161, 139, 5, 314, 3001, 72, 25133, 1759, 154, 30420
interviews, 0, 113, 92, 0, 205, 648, 31, 13902, 438, 35, 30309
okhttp, 38, 571, 392, 47, 1048, 2315, 168, 72217, 3925, 220, 29767
guava, 104, 856, 331, 145, 1436, 1640, 788, 669615, 6332, 300, 28227
MPAndroidChart, 14, 198, 262, 4, 478, 1674, 1300, 32247, 2007, 84, 24976
spring-framework, 296, 3208, 4248, 274, 8026, 2908, 179, 930140, 21524, 384, 24876
glide, 50, 300, 487, 48, 885, 1965, 142, 79992, 2557, 149, 24044
lottie-android, 3, 78, 126, 5, 212, 779, 44, 12705, 1110, 64, 23267
incubator-dubbo, 38, 669, 654, 35, 1396, 2349, 248, 137141, 3081, 178, 22640
butterknife, 6, 116, 86, 4, 212, 2090, 88, 12109, 967, 89, 22565
leakcanary, 1, 45, 41, 0, 87, 1305, 22, 7374, 632, 69, 21174
AndroidUtilCode, 21, 170, 455, 15, 661, 847, 30, 36787, 961, 29, 21105
zxing, 19, 494, 442, 8, 963, 2600, 8, 57910, 3482, 136, 20761
EventBus, 1, 22, 35, 2, 60, 2322, 98, 7004, 504, 27, 19741
proxyee-down, 0, 38, 22, 0, 60, 395, 108, 4038, 476, 16, 18631
RxAndroid, 1, 7, 2, 1, 11, 1558, 3, 1451, 475, 69, 17134
JCSprout, 0, 24, 10, 0, 34, 342, 16, 4043, 615, 23, 16815
netty, 147, 1951, 2950, 186, 5234, 2937, 442, 344469, 14456, 482, 16665
jadx, 14, 318, 301, 11, 644, 2077, 146, 48114, 770, 37, 16608
Android-Universal-Image-Loader, 5, 32, 107, 7, 151, 2554, 460, 12331, 1036, 41, 16357
picasso, 8, 47, 91, 9, 155, 2020, 171, 11094, 1322, 116, 16203
Hystrix, 24, 476, 355, 16, 871, 2196, 302, 65600, 2343, 145, 15676
BaseRecyclerViewAdapterHelper, 4, 44, 94, 2, 144, 958, 104, 7788, 928, 47, 15622
