Project, LF (t=30), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
JetBrains/kotlin,4746,11202,2896,18844,2477,96,1030909,81451,370,25332
shadowsocks/shadowsocks-android,5,10,20,35,2170,10,7815,2614,44,19057
tipsy/profile-summary-for-github,0,0,0,0,350,11,361,198,10,18323
google/iosched,29,45,30,104,1699,22,25634,2348,67,17697
afollestad/material-dialogs,0,30,12,42,1483,2,5219,1724,90,14675
Kotlin/anko,5,937,222,1164,1529,206,51278,1089,76,12883
google/flexbox-layout,3,4,4,11,935,41,9066,570,23,12866
alibaba/p3c,17,38,21,76,520,13,7033,210,27,12293
googlesamples/android-architecture-components,1,7,9,17,565,205,10084,230,40,10849
googlesamples/android-UniversalMusicPlayer,0,0,4,4,1356,18,2739,268,26,10428
JakeWharton/RxBinding,51,0,0,51,1342,33,4691,555,46,8171
KotlinBy/awesome-kotlin,0,2,0,2,1196,59,1472,905,160,6059
square/okio,0,45,19,64,1714,26,10067,809,47,5710
JetBrains/kotlin-native,13,727,201,941,923,137,101833,4933,89,5164
ReactiveX/RxKotlin,0,65,0,65,1559,10,2513,307,49,5012
googlesamples/android-topeka,0,16,11,27,1297,8,5976,241,22,4993
googlesamples/android-sunflower,2,0,1,3,186,45,1971,260,14,4979
agrosner/DBFlow,1,78,78,157,1530,39,22484,2876,66,4411
ktorio/ktor,11,272,80,363,1210,207,56695,2685,68,4113
Tapadoo/Alerter,0,2,3,5,660,16,1578,303,24,4048
romannurik/muzei,6,24,27,57,1753,25,17338,1870,24,3753
Kotlin/kotlinx.coroutines,26,102,56,184,886,152,43927,1518,94,3669
sourcerer-io/sourcerer-app,0,30,13,43,506,119,8926,307,18,3429
ssseasonnn/RxDownload,0,15,21,36,758,94,2709,463,8,3407
RedApparat/Fotoapparat,2,7,9,18,612,38,7045,615,29,3033
enbandari/Kotlin-Tutorials,1,2,1,4,777,1,730,120,3,2898
bufferapp/android-clean-architecture-boilerplate,0,2,6,8,473,25,2468,65,10,2574
worker8/TourGuide,1,2,4,7,1332,77,1954,242,15,2550
KeepSafe/dexcount-gradle-plugin,0,9,4,13,1270,9,1526,314,25,2544
corda/corda,68,750,252,1070,780,91,154528,8392,143,2525
InsertKoinIO/koin,1,66,17,84,537,47,14464,1047,30,2512
dbacinski/Design-Patterns-In-Kotlin,0,1,1,2,790,3,465,112,14,2412
Triple-T/gradle-play-publisher,0,4,2,6,1571,14,1871,569,40,2379
kittinunf/Fuel,1,20,11,32,1270,29,12384,764,55,2356
inorichi/tachiyomi,1,65,106,172,1145,287,32846,1514,55,2277
Kotlin/kotlin-koans,5,13,0,18,1711,31,1802,218,50,2237
arrow-kt/arrow,2,553,137,692,611,179,38679,4254,130,2133
TonicArtos/SuperSLiM,0,51,33,84,1438,30,4796,752,5,2124
JakeWharton/kotterknife,0,0,0,0,1497,17,251,82,14,2121
tipsy/javalin,0,12,6,18,602,15,5887,750,45,2116
airbnb/MvRx,0,44,8,52,146,26,5170,186,16,2110
gradle/kotlin-dsl,57,125,28,210,942,171,27036,3470,30,2103
JetBrains/kotlin-examples,0,1,2,3,2078,32,1948,220,26,2079
intellij-rust/intellij-rust,105,326,82,513,1166,362,83653,6502,124,2066
JetBrains/Exposed,0,51,26,77,1944,98,9238,1106,56,2032
edvin/tornadofx,0,294,42,336,1054,57,23515,2686,81,2009
garretyoder/Colorful,0,3,2,5,782,5,259,121,7,1968
antoniolg/Kotlin-for-Android-Developers,0,3,0,3,1237,4,658,131,2,1964
git-xuhao/KotlinMvp,0,22,20,42,373,2,6113,107,4,1921
YiiGuxing/TranslationPlugin,1,32,15,48,907,3,6894,776,2,1862
square/sqldelight,10,20,21,51,1131,52,13743,1125,34,1861
JetBrains/kotlinconf-app,1,5,8,14,395,6,2414,182,18,1850
afollestad/aesthetic,0,14,2,16,563,4,5388,296,8,1838
izhangzhihao/intellij-rainbow-brackets,3,10,5,18,417,11,2548,393,6,1824
TwidereProject/Twidere-Android,55,476,188,719,1606,233,81742,3102,29,1780
shyiko/ktlint,6,22,0,28,851,62,7186,624,33,1764
dev-labs-bg/transitioner,0,1,0,1,352,0,163,34,1,1743
chrisbanes/tivi,7,43,35,85,465,18,14745,1107,13,1706
DroidNinja/Android-FilePicker,0,6,11,17,847,40,2725,91,12,1684
antoniolg/Bandhook-Kotlin,2,5,8,15,1345,12,4530,108,12,1655
byoutline/kickmaterial,1,16,11,28,1151,0,3349,194,8,1573
arturbosch/detekt,59,14,28,101,763,118,29776,2281,88,1557
square/kotlinpoet,0,34,9,43,634,26,13290,1272,105,1520
nhaarman/mockito-kotlin,0,3,0,3,1042,27,2851,331,26,1512
JakeWharton/SdkSearch,0,4,2,6,346,42,2879,745,15,1505
spekframework/spek,6,18,18,42,2211,58,3081,1022,59,1488
nekocode/create-android-kotlin-app,0,0,1,1,1184,1,554,28,1,1468
Kodein-Framework/Kodein-DI,0,61,16,77,1319,4,11361,417,27,1454
afollestad/drag-select-recyclerview,0,2,3,5,1128,1,658,97,5,1434
SimpleMobileTools/Simple-Calendar,1,50,31,82,1034,99,8931,3017,77,1423
ingbyr/VDM,0,4,4,8,928,20,2257,299,5,1413
alibaba/transmittable-thread-local,9,0,0,9,1869,15,2412,636,16,1389
klinker24/Android-TextView-LinkBuilder,0,3,2,5,1250,5,971,112,15,1374
githubwing/GankClient-Kotlin,0,3,1,4,733,11,979,46,4,1364
Yalantis/SearchFilter,0,5,5,10,759,10,1435,23,6,1363
LRH1993/Eyepetizer-in-Kotlin,0,13,8,21,513,11,3109,55,2,1315
Yalantis/JellyToolbar,0,1,2,3,607,11,445,22,2,1315
aritraroy/Flashbar,0,1,9,10,339,19,2654,73,2,1309
anthonycr/Lightning-Browser,3,36,34,73,2123,302,12086,1893,94,1289
SumiMakito/AwesomeQRCode,0,5,0,5,577,7,729,83,3,1276
fossasia/susi_android,0,22,37,59,795,102,7709,1022,136,1270
Yalantis/Multi-Selection,0,4,7,11,768,3,1091,11,2,1256
DanielMartinus/Konfetti,1,8,6,15,610,12,1632,244,7,1253
kotlintest/kotlintest,15,167,12,194,1092,37,22066,1225,78,1241
heimashi/kotlin_tips,0,4,1,5,345,0,904,59,5,1226
Tinder/Scarlet,10,7,14,31,180,13,7956,205,10,1216
faruktoptas/FancyShowCaseView,0,4,5,9,627,12,2347,142,25,1185
mockk/mockk,4,170,33,207,404,42,16887,1159,21,1175
android10/Android-CleanArchitecture-Kotlin,0,5,5,10,548,43,2420,217,6,1148
JakeWharton/retrofit2-kotlin-coroutines-adapter,0,0,0,0,333,5,335,26,6,1144
loopeer/shadow,0,6,1,7,433,13,881,52,4,1097
ajermakovics/jvm-mon,0,1,1,2,657,12,134,41,5,1091
TonnyL/PaperPlane,15,19,18,52,982,3,8617,246,9,1083
DroidKaigi/conference-app-2018,2,20,26,48,337,30,12045,1803,153,1078
googlesamples/android-ConstraintLayoutExamples,0,0,0,0,633,22,907,33,7,1073
igalata/Bubble-Picker,0,4,3,7,626,37,835,41,7,1041
saket/InboxRecyclerView,1,5,10,16,98,3,2319,162,2,1039
PaulWoitaschek/Voice,1,31,43,75,1576,102,13372,3660,27,1016
nickbutcher/AdaptiveIconPlayground,0,4,1,5,507,11,571,26,1,1016
Gh0u1L5/WechatMagician,0,14,3,17,437,46,3296,757,7,992
hzsweers/CatchUp,2,51,39,92,944,30,18900,1268,8,987
Ramotion/fluid-slider-android,0,3,1,4,376,13,532,113,9,975
mwolfson/android-historian,0,6,2,8,1193,0,1673,133,4,965
Kotlin/kotlinx.serialization,1,70,58,129,493,113,11541,388,19,964
JetradarMobile/android-snowfall,0,1,1,2,703,8,335,41,7,957
Kotlin/kotlin-fullstack-sample,0,13,8,21,711,20,2020,54,10,937
cbeust/klaxon,0,11,8,19,2043,28,4499,651,35,936
wuapnjie/PoiShuhui-Kotlin,0,1,4,5,990,7,1180,17,4,935
rbro112/Android-Indefinite-Pager-Indicator,1,0,2,3,387,6,909,78,4,932
wuseal/JsonToKotlinClass,24,11,9,44,453,3,6472,238,8,913
PaperAirplane-Dev-Team/BlackLight,0,0,0,0,1562,1162,0,1459,18,911
airbnb/paris,20,28,12,60,342,24,9824,406,12,893
sephiroth74/android-target-tooltip,0,7,5,12,1641,64,1508,229,9,878
afollestad/material-cab,0,2,3,5,1301,0,626,133,5,866
vektah/CodeGlance,0,8,5,13,1981,37,1732,149,9,859
bufferapp/clean-architecture-components-boilerplate,0,1,3,4,429,8,2677,78,9,854
8enet/Charles-Crack,0,5,0,5,245,1,343,12,2,846
blackbbc/Tucao,2,38,48,88,680,4,13331,543,3,844
fossasia/open-event-android,0,11,28,39,1305,55,6426,315,31,832
ncapdevi/FragNav,5,3,3,11,974,25,2119,428,20,826
Kotlin/dokka,17,77,47,141,1597,132,12784,1445,36,822
armcha/Ribble,0,30,29,59,484,8,5405,106,4,809
kiruto/debug-bottle,0,27,31,58,828,5,10335,522,2,802
loopeer/code-reader,1,25,30,56,844,7,8589,409,9,797
pawegio/KAndroid,0,20,4,24,1340,3,1206,227,6,785
kizitonwose/Time,0,8,1,9,395,2,233,40,4,785
TradeMe/MapMe,0,11,5,16,488,5,1388,56,4,766
MarioAriasC/funKTionale,0,275,9,284,2067,11,5429,146,14,762
shellljx/TagViewGroup,0,5,4,9,703,1,828,57,2,761
perwendel/spark-kotlin,1,46,3,50,550,18,1187,49,3,747
RedMadRobot/input-mask-android,0,7,2,9,760,4,3181,103,11,727
ingokegel/jclasslib,27,44,36,107,2566,4,14553,991,6,727
